time,description,type,subject,remarks
7:49:54,logout,user access,YYEiYdfj,CATEGORY student STATUS success
8:03:40,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
8:09:54,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
8:57:58,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
9:46:06,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
10:07:45,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
10:52:34,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
11:08:02,login,user access,kcTsrDhT,CATEGORY student STATUS success
11:23:11,logout,user access,YYEiYdfj,CATEGORY student STATUS success
11:47:06,login,user access,kcTsrDhT,CATEGORY student STATUS success
12:46:34,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
13:40:03,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
14:17:32,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
14:33:01,logout,user access,YYEiYdfj,CATEGORY student STATUS success
14:49:12,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
14:57:44,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
15:05:29,login,user access,kcTsrDhT,CATEGORY student STATUS success
15:45:03,login,user access,pWJxvLVL,CATEGORY student STATUS failure
16:00:20,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
16:51:58,logout,user access,YYEiYdfj,CATEGORY student STATUS success
17:28:07,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
17:54:57,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
18:26:31,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
18:54:39,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
19:25:08,"""Engineering 101"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Engineering 101"" STATUS success"
19:34:25,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
20:12:05,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
20:19:41,"""Physiotherapy for the Elderly""",book retrieval,YYEiYdfj,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""Physiotherapy for the Elderly  "" STATUS success"
20:29:11,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
20:49:37,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
21:31:20,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
21:58:02,"""Mapping the World"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Mapping the World"""
7:03:06,"""The Economics of Computer Science"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY student INPUT ""The Economics of Computer Science"" STATUS success"
7:35:39,"""Mathematics is Fun"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Mathematics is Fun"" STATUS failure"
7:55:29,"""Large-scale Software Projects - Case Studies"" request",book retrieval,MIdcaaTz,"REQUESTER-CATEGORY teacher BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies"" STATUS success"
8:51:15,login,user access,kcTsrDhT,CATEGORY student STATUS success
9:47:25,logout,user access,YYEiYdfj,CATEGORY student STATUS success
9:51:50,login,user access,pWJxvLVL,CATEGORY student STATUS failure
10:08:43,login,user access,pWJxvLVL,CATEGORY student STATUS failure
10:54:22,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
11:45:45,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
12:06,login,user access,pWJxvLVL,CATEGORY teacher STATUS success
12:32:59,logout,user access,pWJxvLVL,CATEGORY teacher STATUS success
13:04:50,"""Large-scale Software Projects - Case Studies \90\90\90"" request",book retrieval,BENSLmav,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies \90\90\90\90\90\90\90\90\90\90AAAAAAAAOx16702430"" STATUS failure"
13:33:57,"""Large-scale Software Projects - Case Studies \90\90\90"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies \90\90\90\90\90\90\90\90\90\90\90AAAAAAAAOx16702430"" STATUS failure"
13:38:23,"""Large-scale Software Projects - Case Studies \90\90\90"" request",book retrieval,AxwATwZk,"REQUESTER-CATEGORY student BOOK-CATEGORY teacher INPUT ""Large-scale Software Projects - Case Studies \90\90\90\90\90\90\90\90\90\90\90\90AAAAAAAAOx16702430"" STATUS success"
