time,description,type,user,remarks
9:19:43,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
9:27:13,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
10:07:54,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
11:03:28,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
11:42:08,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
12:13:32,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
13:06:21,logout,user access,BKVwfCEB,STATUS success
14:02:38,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
14:47:46,logout,user access,BKVwfCEB,STATUS success
15:40:53,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
16:00:38,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
16:22:40,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
16:39:09,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
16:41:53,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
9:46:24,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
10:41:30,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
11:32:07,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
11:40:01,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
12:15:35,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
12:23:52,logout,user access,BKVwfCEB,STATUS success
12:25:45,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
12:38:52,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
13:09:20,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
13:53:20,logout,user access,yySthMsH,STATUS success
14:06:33,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
14:50:50,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
15:20:06,logout,user access,yySthMsH,STATUS success
15:45:15,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:11:32,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
16:33:09,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:42:47,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
16:47:32,upload of kHpoRqWw_bruteforce.c,file upload,AkHpoRqWw,STATUS success
16:49:30,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
9:03:07,logout,user access,BKVwfCEB,STATUS success
9:30:27,logout,user access,BKVwfCEB,STATUS success
9:46:35,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
9:47:41,upload of jMshMNGI_brute_forcee.c.,file upload,jMshMNGI,STATUS failure REASON incorrect file naming convention
10:28:40,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
11:00:10,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
11:21:40,logout,user access,yySthMsH,STATUS success
11:26:35,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
12:23:57,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
13:05:07,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
13:42:30,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
14:13:04,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
15:03:07,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
15:30:21,logout,user access,BKVwfCEB,STATUS success
15:53:54,login,user access,BKVwfCEB,"STATUS success INPUT ""BKVwfCEB"""
16:08:33,logout,user access,BKVwfCEB,STATUS success
16:53:07,logout,user access,yySthMsH,STATUS success
16:56:32,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
9:54:09,logout,user access,yySthMsH,STATUS success
10:53:12,login,user access,ZCzEGxgG,STATUS failure REASON invalid user
11:41:45,login,user access,yySthMsH,"STATUS success INPUT ""yySthMsH"""
11:58:50,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
12:25:35,logout,user access,yySthMsH,STATUS success
13:07:39,upload of BtcKNiKw_bruteforce.java,file upload,BtcKNiKw,STATUS failure REASON incorrect file extension
