time,description,type,user,remarks
09:05:45,login,user access,AHFiJncv,STATUS success
09:55:30,logout,user access,IXOMWVbP,STATUS success
10:26:23,login,user access,nFlbRALT,STATUS failure
10:42:04,login,user access,nFlbRALT,STATUS failure
10:59:20,login,user access,AHFiJncv,STATUS success
11:26:11,logout,user access,IXOMWVbP,STATUS success
11:58:29,login,user access,nFlbRALT,STATUS failure
12:41:05,login,user access,nFlbRALT,STATUS failure
13:30:30,login,user access,nFlbRALT,STATUS failure
13:56:41,login,user access,nFlbRALT,STATUS failure
14:02:02,login,user access,AHFiJncv,STATUS success
14:55:28,logout,user access,IXOMWVbP,STATUS success
15:35:02,login,user access,AHFiJncv,STATUS success
16:19:21,logout,user access,IXOMWVbP,STATUS success
16:36:37,login,user access,AHFiJncv,STATUS success
16:48:09,login,user access,AHFiJncv,STATUS success
09:51:25,login,user access,nFlbRALT,STATUS failure
10:24:20,logout,user access,IXOMWVbP,STATUS success
11:09:51,logout,user access,IXOMWVbP,STATUS success
11:22:49,login,user access,nFlbRALT,STATUS failure
12:02:12,login,user access,nFlbRALT,STATUS failure
12:37:06,login,user access,AHFiJncv,STATUS success
13:03:14,login,user access,nFlbRALT,STATUS failure
13:34:48,logout,user access,IXOMWVbP,STATUS success
14:03:57,login,user access,nFlbRALT,STATUS failure
14:39:40,login,user access,AHFiJncv,STATUS success
14:59:35,logout,user access,IXOMWVbP,STATUS success
15:53:24,login,user access,nFlbRALT,STATUS failure
16:13:58,login,user access,nFlbRALT,STATUS failure
16:50:36,login,user access,nFlbRALT,STATUS failure
09:09:32,login,user access,nFlbRALT,STATUS failure
09:55:45,login,user access,AHFiJncv,STATUS success
10:41:36,logout,user access,IXOMWVbP,STATUS success
10:50:52,login,user access,AHFiJncv,STATUS success
11:40:32,login,user access,AHFiJncv,STATUS success
16:39:57,login,user access,nFlbRALT,STATUS failure
16:48:26,login,user access,AHFiJncv,STATUS success
16:50:33,login,user access,AHFiJncv,STATUS success
09:18:05,logout,user access,IXOMWVbP,STATUS success
10:12:43,logout,user access,IXOMWVbP,STATUS success
10:36:12,login,user access,AHFiJncv,STATUS success
10:51:59,login,user access,AHFiJncv,STATUS success
11:20:04,login,user access,AHFiJncv,STATUS success
11:36:47,logout,user access,IXOMWVbP,STATUS success
12:08:26,logout,user access,IXOMWVbP,STATUS success
12:51:55,logout,user access,IXOMWVbP,STATUS success
13:00:53,login,user access,AHFiJncv,STATUS success
13:56:48,logout,user access,IXOMWVbP,STATUS success
14:53:49,login,user access,nFlbRALT,STATUS failure
15:34:57,login,user access,AHFiJncv,STATUS success
15:37:37,logout,user access,IXOMWVbP,STATUS success
15:41:35,login,user access,AHFiJncv,STATUS success
16:21:02,logout,user access,IXOMWVbP,STATUS success
16:49:11,login,user access,nFlbRALT,STATUS failure
09:07:27,login,user access,nFlbRALT,STATUS failure
09:27:09,login,user access,nFlbRALT,STATUS failure
09:36:54,login,user access,nFlbRALT,STATUS failure
09:45:07,login,user access,nFlbRALT,STATUS failure
10:21:50,login,user access,AHFiJncv,STATUS success
11:08:55,login,user access,nFlbRALT,STATUS failure
12:00:25,logout,user access,IXOMWVbP,STATUS success
12:26:18,login,user access,nFlbRALT,STATUS failure
13:05:29,login,user access,AHFiJncv,STATUS success
13:33:47,login,user access,AHFiJncv,STATUS success
14:16:55,logout,user access,IXOMWVbP,STATUS success
15:02:05,logout,user access,IXOMWVbP,STATUS success
15:27:20,login,user access,nFlbRALT,STATUS failure
16:22:18,login,user access,AHFiJncv,STATUS success
09:19:51,logout,user access,IXOMWVbP,STATUS success
10:15:15,login,user access,AHFiJncv,STATUS success
10:51:38,login,user access,AHFiJncv,STATUS success
11:33:59,login,user access,AHFiJncv,STATUS success
11:53:03,login,user access,nFlbRALT,STATUS failure
12:41:58,logout,user access,IXOMWVbP,STATUS success
12:56:01,logout,user access,IXOMWVbP,STATUS success
13:38:07,logout,user access,IXOMWVbP,STATUS success
13:56:58,login,user access,nFlbRALT,STATUS failure
14:25:33,login,user access,nFlbRALT,STATUS failure
15:18:06,login,user access,nFlbRALT,STATUS failure
16:15:43,login,user access,AHFiJncv,STATUS success
16:42:32,login,user access,AHFiJncv,STATUS success
