time,description,type,user,remarks
09:46:19,login,user access,Sgmjclcz,STATUS success
10:29:50,logout,user access,nFlbRALT,STATUS success
11:20:04,login,user access,AHFiJncv,STATUS failure
11:36:31,login,user access,AHFiJncv,STATUS failure
11:48:07,login,user access,Sgmjclcz,STATUS success
12:07,login,user access,AHFiJncv,STATUS failure
12:39:14,login,user access,Sgmjclcz,STATUS success
12:43:16,logout,user access,nFlbRALT,STATUS success
12:51:22,login,user access,Sgmjclcz,STATUS success
13:41,login,user access,Sgmjclcz,STATUS success
14:03:35,logout,user access,nFlbRALT,STATUS success
14:56:22,login,user access,AHFiJncv,STATUS failure
15:15:02,login,user access,Sgmjclcz,STATUS success
15:55:11,login,user access,Sgmjclcz,STATUS success
16:00:16,logout,user access,nFlbRALT,STATUS success
16:34:26,logout,user access,nFlbRALT,STATUS success
09:23:05,login,user access,AHFiJncv,STATUS failure
10:19:18,login,user access,AHFiJncv,STATUS failure
11:19:07,logout,user access,nFlbRALT,STATUS success
12:05:58,login,user access,AHFiJncv,STATUS failure
12:42:03,login,user access,Sgmjclcz,STATUS success
13:12:16,login,user access,Sgmjclcz,STATUS success
13:24:57,logout,user access,nFlbRALT,STATUS success
14:24:33,logout,user access,nFlbRALT,STATUS success
14:34:26,login,user access,Sgmjclcz,STATUS success
14:50:17,login,user access,Sgmjclcz,STATUS success
15:34:46,logout,user access,nFlbRALT,STATUS success
16:18:53,login,user access,AHFiJncv,STATUS failure
16:28:10,login,user access,AHFiJncv,STATUS failure
09:52:46,logout,user access,nFlbRALT,STATUS success
10:09,login,user access,AHFiJncv,STATUS failure
10:28:34,login,user access,AHFiJncv,STATUS failure
11:07:40,login,user access,AHFiJncv,STATUS failure
12:02:22,logout,user access,nFlbRALT,STATUS success
12:31:17,login,user access,AHFiJncv,STATUS failure
12:45:12,login,user access,Sgmjclcz,STATUS success
12:52:51,logout,user access,nFlbRALT,STATUS success
13:34:39,login,user access,Sgmjclcz,STATUS success
14:34:28,login,user access,AHFiJncv,STATUS failure
15:01:30,login,user access,Sgmjclcz,STATUS success
15:50:14,login,user access,AHFiJncv,STATUS failure
16:31:37,logout,user access,nFlbRALT,STATUS success
09:52:09,login,user access,AHFiJncv,STATUS failure
10:06:25,logout,user access,nFlbRALT,STATUS success
10:12:41,login,user access,AHFiJncv,STATUS failure
10:35:48,login,user access,Sgmjclcz,STATUS success
10:38:24,login,user access,AHFiJncv,STATUS failure
11:08:32,logout,user access,nFlbRALT,STATUS success
11:43:55,login,user access,uUmivgfh,STATUS failure
12:18:21,login,user access,uUmivgfh,STATUS failure
12:29:15,login,user access,uUmivgfh,STATUS failure
12:46:31,login,user access,uUmivgfh,STATUS failure
13:04:15,login,user access,uUmivgfh,STATUS failure
13:32:49,login,user access,uUmivgfh,STATUS failure
14:27:47,login,user access,uUmivgfh,STATUS failure
15:25:12,login,user access,uUmivgfh,STATUS failure
15:47:23,login,user access,AHFiJncv,STATUS failure
16:00:33,login,user access,AHFiJncv,STATUS failure
16:25:04,login,user access,AHFiJncv,STATUS failure
16:29:44,login,user access,Sgmjclcz,STATUS success
16:35:55,login,user access,Sgmjclcz,STATUS success
16:59:46,login,user access,Sgmjclcz,STATUS success
09:30:49,logout,user access,nFlbRALT,STATUS success
10:05:41,login,user access,Sgmjclcz,STATUS success
10:32:41,logout,user access,nFlbRALT,STATUS success
10:35:20,login,user access,AHFiJncv,STATUS failure
11:01:39,login,user access,Sgmjclcz,STATUS success
11:18:09,logout,user access,nFlbRALT,STATUS success
11:29:42,logout,user access,nFlbRALT,STATUS success
11:47:37,logout,user access,nFlbRALT,STATUS success
12:26:39,login,user access,Sgmjclcz,STATUS success
12:52:52,logout,user access,nFlbRALT,STATUS success
13:13:09,login,user access,AHFiJncv,STATUS failure
13:26:11,login,user access,AHFiJncv,STATUS failure
13:57:56,login,user access,AHFiJncv,STATUS failure
14:31:19,login,user access,AHFiJncv,STATUS failure
14:40:47,login,user access,AHFiJncv,STATUS failure
15:23:18,login,user access,AHFiJncv,STATUS failure
15:49:45,login,user access,AHFiJncv,STATUS failure
16:22:47,login,user access,AHFiJncv,STATUS failure
09:13:11,login,user access,Sgmjclcz,STATUS success
09:33:44,logout,user access,nFlbRALT,STATUS success
10:10:50,login,user access,AHFiJncv,STATUS failure
10:47:32,login,user access,Sgmjclcz,STATUS success
11:12:41,login,user access,Sgmjclcz,STATUS success
11:37:02,login,user access,AHFiJncv,STATUS failure
11:50:52,login,user access,Sgmjclcz,STATUS success
12:02:33,logout,user access,nFlbRALT,STATUS success
12:19:19,logout,user access,nFlbRALT,STATUS success
13:14:08,logout,user access,nFlbRALT,STATUS success
13:58:38,login,user access,AHFiJncv,STATUS failure
14:58:17,login,user access,AHFiJncv,STATUS failure
15:48:27,login,user access,AHFiJncv,STATUS failure
15:59:28,login,user access,Sgmjclcz,STATUS success
16:06:06,login,user access,AHFiJncv,STATUS failure
16:17:54,logout,user access,nFlbRALT,STATUS success
16:50:18,login,user access,AHFiJncv,STATUS failure
09:37:16,login,user access,AHFiJncv,STATUS failure
09:41:47,login,user access,AHFiJncv,STATUS failure
09:55:21,login,user access,AHFiJncv,STATUS failure
10:26:12,login,user access,AHFiJncv,STATUS failure
10:30:51,login,user access,Sgmjclcz,STATUS success
10:42:30,logout,user access,nFlbRALT,STATUS success
11:21:21,login,user access,Sgmjclcz,STATUS success
